23.05.2025,instrumentType,expiryDate,optionType,strikePrice,openPrice,highPrice,lowPrice,closePrice,volume,name,token
22750Call,Index Options,29-May-2025,Call,22750,2000.0,2019.45,2000.0,2019.45,8,NIFTY29MAY2522750CE,61515
20650Call,Index Options,29-May-2025,Call,20650,4003.05,4019.55,4003.05,4016.4,8,NIFTY29MAY2520650CE,61335
22900Call,Index Options,29-May-2025,Call,22900,1954.4,2000.0,1952.35,1971.05,7,NIFTY29MAY2522900CE,61521
23050Call,Index Options,29-May-2025,Call,23050,1722.65,1904.5,1722.65,1904.5,7,NIFTY29MAY2523050CE,61527
22100Call,Index Options,29-May-2025,Call,22100,2680.25,2848.45,2680.25,2785.05,7,NIFTY29MAY2522100CE,61489
21800Call,Index Options,29-May-2025,Call,21800,2810.65,2856.45,2785.0,2856.45,7,NIFTY29MAY2521800CE,61471
23450Call,Index Options,29-May-2025,Call,23450,1475.0,1475.0,1447.4,1449.5,6,NIFTY29MAY2523450CE,61543
26300Put,Index Options,29-May-2025,Put,26300,1749.8,1755.6,1749.8,1755.4,6,NIFTY29MAY2526300PE,61814
26400Put,Index Options,29-May-2025,Put,26400,1849.3,1855.1,1849.3,1854.65,6,NIFTY29MAY2526400PE,61824
23100Call,Index Options,29-May-2025,Call,23100,1710.0,1852.7,1710.0,1774.05,6,NIFTY29MAY2523100CE,61529
26350Put,Index Options,29-May-2025,Put,26350,1799.4,1805.25,1799.4,1804.95,5,NIFTY29MAY2526350PE,61820
20450Call,Index Options,29-May-2025,Call,20450,4204.0,4236.9,4204.0,4230.05,5,NIFTY29MAY2520450CE,61327
26250Put,Index Options,29-May-2025,Put,26250,1405.45,1405.45,1337.55,1337.55,4,NIFTY29MAY2526250PE,61812
20350Call,Index Options,29-May-2025,Call,20350,4328.9,4328.9,4323.05,4324.55,4,NIFTY29MAY2520350CE,61319
21300Call,Index Options,29-May-2025,Call,21300,3619.85,3619.85,3583.95,3583.95,4,NIFTY29MAY2521300CE,61379
21900Call,Index Options,29-May-2025,Call,21900,2760.0,2760.0,2755.1,2756.5,4,NIFTY29MAY2521900CE,61475
22850Call,Index Options,29-May-2025,Call,22850,1710.0,1710.0,1685.0,1685.0,4,NIFTY29MAY2522850CE,61519
20850Call,Index Options,29-May-2025,Call,20850,3802.85,3835.35,3802.85,3824.5,3,NIFTY29MAY2520850CE,61345
23350Call,Index Options,29-May-2025,Call,23350,1539.05,1597.45,1539.05,1594.15,3,NIFTY29MAY2523350CE,61539
21100Call,Index Options,29-May-2025,Call,21100,3557.35,3583.7,3557.35,3573.1,3,NIFTY29MAY2521100CE,61360
21700Call,Index Options,29-May-2025,Call,21700,3068.45,3242.7,3068.45,3242.7,3,NIFTY29MAY2521700CE,61467
20600Call,Index Options,29-May-2025,Call,20600,4058.9,4241.4,4058.9,4241.4,2,NIFTY29MAY2520600CE,61333
20950Call,Index Options,29-May-2025,Call,20950,3640.0,3710.0,3640.0,3710.0,2,NIFTY29MAY2520950CE,61353
20550Call,Index Options,29-May-2025,Call,20550,4221.85,4282.75,4221.85,4282.75,2,NIFTY29MAY2520550CE,61331
23150Call,Index Options,29-May-2025,Call,23150,1800.0,1800.0,1800.0,1800.0,2,NIFTY29MAY2523150CE,61531
20400Call,Index Options,29-May-2025,Call,20400,4375.15,4375.15,4337.5,4337.5,2,NIFTY29MAY2520400CE,61323
20750Call,Index Options,29-May-2025,Call,20750,4022.95,4083.8,4022.95,4083.8,2,NIFTY29MAY2520750CE,61339
20800Call,Index Options,29-May-2025,Call,20800,4049.35,4054.6,4049.35,4054.6,2,NIFTY29MAY2520800CE,61341
21150Call,Index Options,29-May-2025,Call,21150,2947.9,2965.7,2947.9,2956.8,2,NIFTY29MAY2521150CE,61371
22150Call,Index Options,29-May-2025,Call,22150,2491.8,2491.8,2488.1,2489.95,2,NIFTY29MAY2522150CE,61491
22550Call,Index Options,29-May-2025,Call,22550,1985.0,1985.0,1985.0,1985.0,2,NIFTY29MAY2522550CE,61507
26200Put,Index Options,29-May-2025,Put,26200,1400.0,1400.0,1320.6,1320.6,2,NIFTY29MAY2526200PE,61810
20700Call,Index Options,29-May-2025,Call,20700,4180.95,4215.7,4180.95,4215.7,2,NIFTY29MAY2520700CE,61337
25850Put,Index Options,29-May-2025,Put,25850,1001.3,1006.0,1001.3,1006.0,2,NIFTY29MAY2525850PE,61796
20900Call,Index Options,29-May-2025,Call,20900,3779.3,3779.3,3774.15,3776.75,2,NIFTY29MAY2520900CE,61351
26550Put,Index Options,29-May-2025,Put,26550,2005.55,2037.3,2005.55,2037.3,2,NIFTY29MAY2526550PE,61830
26750Put,Index Options,29-May-2025,Put,26750,2198.85,2201.25,2198.85,2201.25,2,NIFTY29MAY2526750PE,61916
21050Call,Index Options,29-May-2025,Call,21050,3052.5,3052.5,3051.55,3052.05,2,NIFTY29MAY2521050CE,61357
21850Call,Index Options,29-May-2025,Call,21850,2815.75,2815.75,2790.0,2790.0,2,NIFTY29MAY2521850CE,61473
26100Put,Index Options,29-May-2025,Put,26100,1450.0,1487.0,1450.0,1487.0,2,NIFTY29MAY2526100PE,61806
22600Call,Index Options,29-May-2025,Call,22600,2350.0,2350.0,2350.0,2350.0,1,NIFTY29MAY2522600CE,61509
26450Put,Index Options,29-May-2025,Put,26450,1906.45,1906.45,1906.45,1906.45,1,NIFTY29MAY2526450PE,61826
21400Call,Index Options,29-May-2025,Call,21400,3277.1,3277.1,3277.1,3277.1,1,NIFTY29MAY2521400CE,61389
22350Call,Index Options,29-May-2025,Call,22350,2525.0,2525.0,2525.0,2525.0,1,NIFTY29MAY2522350CE,61499
25950Put,Index Options,29-May-2025,Put,25950,1403.45,1403.45,1403.45,1403.45,1,NIFTY29MAY2525950PE,61800
21350Call,Index Options,29-May-2025,Call,21350,3327.3,3327.3,3327.3,3327.3,1,NIFTY29MAY2521350CE,61387
21550Call,Index Options,29-May-2025,Call,21550,3127.85,3127.85,3127.85,3127.85,1,NIFTY29MAY2521550CE,61397
21650Call,Index Options,29-May-2025,Call,21650,3000.0,3000.0,3000.0,3000.0,1,NIFTY29MAY2521650CE,61401
22450Call,Index Options,29-May-2025,Call,22450,2405.35,2405.35,2405.35,2405.35,1,NIFTY29MAY2522450CE,61503
21200Call,Index Options,29-May-2025,Call,21200,3477.5,3477.5,3477.5,3477.5,1,NIFTY29MAY2521200CE,61373
21750Call,Index Options,29-May-2025,Call,21750,3023.5,3023.5,3023.5,3023.5,1,NIFTY29MAY2521750CE,61469
22050Call,Index Options,29-May-2025,Call,22050,2600.3,2600.3,2600.3,2600.3,1,NIFTY29MAY2522050CE,61487
21250Call,Index Options,29-May-2025,Call,21250,3376.95,3376.95,3376.95,3376.95,1,NIFTY29MAY2521250CE,61377
22950Call,Index Options,29-May-2025,Call,22950,1701.65,1701.65,1701.65,1701.65,1,NIFTY29MAY2522950CE,61523
21450Call,Index Options,29-May-2025,Call,21450,3227.3,3227.3,3227.3,3227.3,1,NIFTY29MAY2521450CE,61393
21600Call,Index Options,29-May-2025,Call,21600,3252.3,3252.3,3252.3,3252.3,1,NIFTY29MAY2521600CE,61399
26150Put,Index Options,29-May-2025,Put,26150,1474.25,1474.25,1474.25,1474.25,1,NIFTY29MAY2526150PE,61808
26650Put,Index Options,29-May-2025,Put,26650,2099.75,2099.75,2099.75,2099.75,1,NIFTY29MAY2526650PE,61910
22250Call,Index Options,29-May-2025,Call,22250,2401.05,2401.05,2401.05,2401.05,1,NIFTY29MAY2522250CE,61495
23250Call,Index Options,29-May-2025,Call,23250,1739.95,1739.95,1739.95,1739.95,1,NIFTY29MAY2523250CE,61535
